Orthogroup	Gene_Count	Normalized_Gene_Count
OG0000243	10	0.909091
OG0000244	10	0.909091
OG0000245	10	0.909091
OG0000246	10	0.909091
OG0000247	10	0.909091
OG0000248	10	0.909091
OG0000249	10	0.909091
OG0000250	10	0.909091
OG0000251	10	0.909091
OG0000252	10	0.909091
OG0000253	10	0.909091
OG0000254	10	0.909091
OG0000255	10	0.909091
OG0000256	10	0.909091
OG0000257	10	0.909091
OG0000258	10	0.909091
OG0000259	10	0.909091
OG0000260	10	0.909091
OG0000261	10	0.909091
OG0000262	10	0.909091
OG0000263	10	0.909091
OG0000264	10	0.909091
OG0000265	10	0.909091
OG0000266	10	0.909091
OG0000267	10	0.909091
OG0000268	10	0.909091
OG0000269	10	0.909091
OG0000270	10	0.909091
OG0000271	10	0.909091
OG0000272	10	0.909091
OG0000273	10	0.909091
OG0000274	10	0.909091
OG0000275	10	0.909091
OG0000276	10	0.909091
OG0000277	10	0.909091
OG0000278	10	0.909091
OG0000279	10	0.909091
OG0000280	10	0.909091
OG0000281	10	0.909091
OG0000282	10	0.909091
OG0000283	10	0.909091
OG0000284	10	0.909091
OG0000285	10	0.909091
OG0000286	10	0.909091
OG0000287	10	0.909091
OG0000288	10	0.909091
OG0000289	10	0.909091
OG0000290	10	0.909091
OG0000291	10	0.909091
OG0000292	10	0.909091
OG0000293	10	0.909091
OG0000294	10	0.909091
OG0000295	10	0.909091
OG0000296	9	0.818182
OG0000297	10	0.909091
OG0000298	10	0.909091
OG0000299	10	0.909091
OG0000300	10	0.909091
OG0000301	10	0.909091
OG0000302	10	0.909091
OG0000303	10	0.909091
OG0000304	10	0.909091
OG0000305	10	0.909091
OG0000306	10	0.909091
OG0000307	10	0.909091
OG0000308	10	0.909091
OG0000309	10	0.909091
OG0000310	10	0.909091
OG0000311	10	0.909091
OG0000312	10	0.909091
OG0000313	10	0.909091
OG0000314	10	0.909091
OG0000315	7	0.636364
OG0000316	10	0.909091
OG0000317	10	0.909091
OG0000318	10	0.909091
OG0000319	10	0.909091
OG0000320	10	0.909091
OG0000321	10	0.909091
OG0000322	10	0.909091
OG0000323	10	0.909091
OG0000324	8	0.727273
OG0000325	10	0.909091
OG0000326	10	0.909091
OG0000327	10	0.909091
OG0000328	9	0.818182
OG0000329	10	0.909091
OG0000330	10	0.909091
OG0000331	10	0.909091
OG0000332	10	0.909091
OG0000333	10	0.909091
OG0000334	10	0.909091
OG0000335	9	0.818182
OG0000336	10	0.909091
OG0000337	10	0.909091
OG0000338	10	0.909091
OG0000339	9	0.818182
OG0000340	10	0.909091
OG0000341	10	0.909091
OG0000342	9	0.818182
OG0000343	10	0.909091
OG0000344	10	0.909091
OG0000345	10	0.909091
OG0000346	10	0.909091
OG0000347	10	0.909091
OG0000348	10	0.909091
OG0000349	9	0.818182
OG0000350	9	0.818182
OG0000351	10	0.909091
OG0000352	10	0.909091
OG0000353	10	0.909091
OG0000354	10	0.909091
OG0000355	10	0.909091
OG0000356	10	0.909091
OG0000357	10	0.909091
OG0000358	10	0.909091
OG0000359	10	0.909091
OG0000360	10	0.909091
OG0000361	10	0.909091
OG0000362	9	0.818182
OG0000363	10	0.909091
OG0000364	10	0.909091
OG0000365	10	0.909091
OG0000366	9	0.818182
OG0000367	9	0.818182
OG0000368	10	0.909091
OG0000369	2	0.181818
OG0000370	3	0.272727
OG0000371	10	0.909091
OG0000372	9	0.818182
OG0000373	10	0.909091
OG0000374	8	0.727273
OG0000375	10	0.909091
OG0000376	10	0.909091
OG0000377	8	0.727273
OG0000378	10	0.909091
OG0000379	10	0.909091
OG0000380	10	0.909091
OG0000381	10	0.909091
OG0000382	3	0.272727
OG0000383	10	0.909091
OG0000384	10	0.909091
OG0000385	10	0.909091
OG0000386	10	0.909091
OG0000387	10	0.909091
OG0000388	10	0.909091
OG0000389	10	0.909091
OG0000390	10	0.909091
OG0000391	10	0.909091
OG0000392	10	0.909091
OG0000393	10	0.909091
