Gen_Num	rep	All_1	At_Least_1
28	8	16795	23648
28	9	16431	23692
28	10	16545	23588
29	1	16859	23674
29	2	16823	23566
29	3	17075	23700
29	4	16885	23668
29	5	16529	23652
29	6	16965	23648
29	7	17162	23644
29	8	16514	23652
29	9	16646	23697
29	10	16764	23696
30	1	16739	23705
30	2	16254	23597
30	3	16917	23663
30	4	16174	23658
30	5	16376	23714
30	6	16292	23634
30	7	16849	23683
30	8	16196	23665
30	9	16663	23684
30	10	16375	23522
31	1	16342	23659
31	2	16305	23715
31	3	16155	23685
31	4	16228	23687
31	5	16444	23604
31	6	16384	23700
31	7	17108	23672
31	8	16750	23713
31	9	16613	23715
31	10	16091	23725
32	1	16846	23694
32	2	16119	23699
32	3	16249	23719
32	4	16653	23661
32	5	16134	23721
32	6	16566	23725
32	7	16768	23724
32	8	16382	23691
32	9	16685	23733
32	10	16703	23729
33	1	16050	23681
33	2	16311	23686
33	3	16339	23715
33	4	16130	23697
33	5	16262	23726
33	6	16288	23688
33	7	16126	23724
33	8	16185	23668
33	9	16261	23729
33	10	16168	23710
34	1	16493	23710
34	2	16144	23680
34	3	16292	23712
34	4	16168	23732
34	5	16052	23700
34	6	16096	23708
34	7	16485	23702
34	8	16196	23696
34	9	16045	23733
34	10	16564	23737
35	1	16184	23734
35	2	16000	23733
35	3	16000	23737
35	4	16249	23729
35	5	16041	23738
35	6	16174	23741
35	7	15989	23718
35	8	16223	23715
35	9	15973	23732
35	10	16104	23704
36	1	16073	23715
36	2	15943	23742
36	3	16011	23741
36	4	16013	23732
36	5	15957	23742
36	6	16006	23734
36	7	16075	23724
36	8	15953	23740
36	9	16424	23742
36	10	15982	23709
37	1	15933	23744
37	2	15951	23721
37	3	16050	23717
37	4	15934	23744
37	5	15976	23742
37	6	15950	23721
37	7	15933	23743
37	8	15937	23743
37	9	16194	23740
37	10	15949	23738
38	1	15971	23742
38	2	15929	23743
38	3	15935	23742
38	4	16411	23742
38	5	15994	23740
38	6	15975	23742
38	7	16047	23744
38	8	15927	23744
38	9	15943	23743
38	10	15929	23743
39	1	15922	23744
39	2	15922	23744
39	3	15922	23744
39	4	15922	23744
39	5	15922	23744
39	6	15922	23744
39	7	15922	23744
39	8	15922	23744
39	9	15922	23744
39	10	15922	23744
