Gen_Num	rep	All_1	At_Least_1
28	8	16389	23642
28	9	16245	23600
28	10	16603	23666
29	1	16362	23664
29	2	16284	23719
29	3	16253	23671
29	4	16298	23667
29	5	16733	23639
29	6	16322	23700
29	7	16152	23712
29	8	16318	23712
29	9	16934	23600
29	10	16574	23676
30	1	16534	23714
30	2	16794	23698
30	3	16536	23688
30	4	16359	23685
30	5	17045	23574
30	6	16296	23635
30	7	16480	23713
30	8	16113	23671
30	9	16259	23602
30	10	16240	23674
31	1	16512	23716
31	2	16857	23692
31	3	16750	23714
31	4	16524	23660
31	5	16997	23723
31	6	16101	23716
31	7	16361	23716
31	8	16111	23694
31	9	16505	23715
31	10	16688	23691
32	1	16375	23655
32	2	16392	23680
32	3	16958	23718
32	4	16487	23688
32	5	16158	23695
32	6	17056	23719
32	7	16013	23708
32	8	16243	23702
32	9	16395	23727
32	10	16546	23728
33	1	16194	23723
33	2	16526	23729
33	3	16883	23717
33	4	16595	23722
33	5	16112	23671
33	6	16367	23686
33	7	16205	23692
33	8	16144	23691
33	9	16268	23719
33	10	16593	23700
34	1	16724	23713
34	2	16348	23679
34	3	16202	23672
34	4	16055	23730
34	5	16375	23731
34	6	16036	23731
34	7	16083	23725
34	8	16514	23701
34	9	16239	23729
34	10	16141	23739
35	1	16054	23721
35	2	16363	23689
35	3	16165	23685
35	4	16134	23705
35	5	16175	23695
35	6	15962	23740
35	7	16427	23741
35	8	16516	23738
35	9	16242	23728
35	10	16040	23729
36	1	16091	23712
36	2	15966	23742
36	3	15977	23740
36	4	16112	23713
36	5	15971	23736
36	6	15943	23742
36	7	16437	23740
36	8	16036	23734
36	9	15953	23718
36	10	16014	23735
37	1	15947	23742
37	2	15978	23738
37	3	16169	23732
37	4	15963	23742
37	5	16100	23742
37	6	15978	23741
37	7	16164	23741
37	8	16097	23705
37	9	16165	23742
37	10	16188	23740
38	1	15943	23722
38	2	15994	23740
38	3	16209	23741
38	4	16043	23718
38	5	16047	23744
38	6	15929	23744
38	7	15928	23744
38	8	15930	23743
38	9	15925	23743
38	10	15994	23742
39	1	15922	23744
39	2	15922	23744
39	3	15922	23744
39	4	15922	23744
39	5	15922	23744
39	6	15922	23744
39	7	15922	23744
39	8	15922	23744
39	9	15922	23744
39	10	15922	23744
